,Unnamed: 0,trainName,trainNumber,stationFrom,stationTo,trainRunsOnSun,trainRunsOnMon,trainRunsOnTue,trainRunsOnWed,trainRunsOnThu,trainRunsOnFri,trainRunsOnSat,from_DepartureTime,from_StationName,to_StationName,to_ArrivalTime,dayCount,totalDistance
0,0,TVC NZM EXPRESS,22655,TVC,NZM,N,N,N,Y,N,N,N,01:00,TRIVANDRUM CNTL,H NIZAMUDDIN,01:45,3.0,3149.0
1,1,MAGADH EXPRESS,20802,NDLS,IPR,Y,Y,Y,Y,Y,Y,Y,20:00,NEW DELHI,ISLAMPUR,14:45,2.0,1063.0
2,2,SC AC SPL,08407,BBS,SC,N,N,N,N,Y,N,N,13:20,BHUBANESWAR,SECUNDERABAD JN,09:00,2.0,1139.0
3,3,HYDERABAD PASS,57550,AWB,HYB,Y,Y,Y,Y,Y,Y,Y,15:35,AURANGABAD,HYDERABAD DECAN,07:05,2.0,582.0
4,4,MAU LJN EXPRESS,15071,MAU,LJN,N,N,N,Y,N,Y,N,19:45,MAU JN,LUCKNOW NE,07:20,2.0,401.0
5,5,UBL BZA PASSR,56502,UBL,BZA,Y,Y,Y,Y,Y,Y,Y,23:30,HUBBALLI JN,VIJAYAWADA JN,19:15,2.0,693.0
6,6,SHATABDI EXP,12243,MAS,CBE,Y,Y,N,Y,Y,Y,Y,07:10,MGR CHENNAI CTL,COIMBATORE JN,14:05,1.0,497.0
7,7,NSL TPTY  EXP,07418,NSL,TPTY,N,N,N,N,N,N,Y,22:00,NAGARSOL,TIRUPATI,04:00,3.0,1330.0
8,8,SAMTA EXPRESS,12807,VSKP,NZM,Y,N,Y,Y,Y,N,Y,06:25,VISAKHAPATNAM,H NIZAMUDDIN,16:45,2.0,1919.0
9,9,SIDDHESWAR EXP,12116,SUR,CSMT,Y,Y,Y,Y,Y,Y,Y,22:40,SOLAPUR JN,C SHIVAJI MAH T,06:35,2.0,455.0
10,10,GWL INTERCITY EX,12197,BPL,GWL,N,Y,Y,N,Y,Y,Y,15:30,BHOPAL  JN,GWALIOR,00:15,2.0,485.0
11,11,SOMNATH EXPRESS,22957,ADI,VRL,Y,Y,Y,Y,Y,Y,Y,22:10,AHMEDABAD JN,VERAVAL,06:00,2.0,432.0
12,12,CAPE MUMBAI EXP,16382,CAPE,CSMT,Y,Y,Y,Y,Y,Y,Y,06:40,KANYAKUMARI,C SHIVAJI MAH T,04:40,3.0,2136.0
13,13,CHENNAI EXPRESS,16796,TPJ,MS,Y,Y,Y,Y,Y,Y,Y,10:00,TIRUCHCHIRAPALI,CHENNAI EGMORE,17:50,1.0,401.0
14,14,DURONTO EXPRESS,12213,YPR,DEE,N,N,N,N,N,N,Y,23:40,YESVANTPUR JN,DELHI S ROHILLA,07:00,3.0,2374.0
15,15,HOWRAH EXP,22832,SSPN,HWH,N,N,N,N,N,Y,N,07:40,SAI P NILAYAM,HOWRAH JN,14:50,2.0,1762.0
16,16,GITANJALI EXP,12859,CSMT,HWH,Y,Y,Y,Y,Y,Y,Y,06:00,C SHIVAJI MAH T,HOWRAH JN,12:30,2.0,1968.0
17,17,KOTA BIX PASS,59821,KOTA,BIX,Y,Y,Y,Y,Y,Y,Y,22:05,KOTA JN,BHIND,14:40,2.0,495.0
18,18,PRR  VM  EXPRESS,22605,PRR,VM,N,Y,N,N,N,N,N,10:35,PURULIA JN,VILLUPURAM JN,21:20,2.0,1997.0
19,19,DEE PORBNDR EXP,19264,DEE,PBR,N,Y,N,N,Y,N,N,08:20,DELHI S ROHILLA,PORBANDAR,12:55,2.0,1393.0
20,20,INTER CITY EXP,22819,BBS,VSKP,Y,Y,Y,Y,Y,Y,Y,07:35,BHUBANESWAR,VISAKHAPATNAM,15:00,1.0,443.0
21,21,PUNE EXPRESS,12730,NED,PUNE,Y,N,Y,N,N,N,N,21:20,H SAHIB NANDED,PUNE JN,09:20,2.0,662.0
22,22,LASHKAR EXPRESS,12162,AGC,LTT,N,N,N,N,N,N,Y,23:35,AGRA CANTT,LOKMANYATILAK T,23:00,2.0,1334.0
23,23,SURI HWH EXP,13054,SURI,HWH,Y,Y,Y,Y,Y,Y,Y,17:30,SIURI,HOWRAH JN,22:40,1.0,211.0
24,24,MAS TVC EXPRESS,06059,MAS,TVC,N,N,N,N,Y,N,N,19:00,MGR CHENNAI CTL,TRIVANDRUM CNTL,11:45,2.0,922.0
25,25,KZJ PUNE SF EXP,22152,KZJ,PUNE,Y,N,N,N,N,N,N,13:30,KAZIPET JN,PUNE JN,11:05,2.0,1177.0
26,26,COA BVC EXPRESS,17204,COA,BVC,N,N,N,N,Y,N,N,03:45,KAKINADA PORT,BHAVNAGAR TRMUS,19:45,2.0,2055.0
27,27,VENKATADRI EXP,12798,CTO,KCG,Y,Y,Y,Y,Y,Y,Y,17:30,CHITTOOR,KACHEGUDA,06:20,2.0,708.0
28,28,SHM VSKP SF EXP,22853,SHM,VSKP,N,N,Y,N,N,N,N,18:15,SHALIMAR,VISAKHAPATNAM,08:20,2.0,880.0
29,29,PUNALUR PASS,56700,MDU,PUU,Y,Y,Y,Y,Y,Y,Y,23:15,MADURAI JN,PUNALUR,11:05,2.0,410.0
30,30,BKN DEE S F EXP,12458,BKN,DEE,Y,Y,Y,Y,Y,Y,Y,22:30,BIKANER JN,DELHI S ROHILLA,06:10,2.0,458.0
31,31,MTP UAM PASSR,56136,MTP,UAM,Y,Y,Y,Y,Y,Y,Y,07:10,METUPALAIYAM,UDAGAMANDALAM,12:00,1.0,46.0
32,32,SHRAMJEEVI EXP,12391,RGD,NDLS,Y,Y,Y,Y,Y,Y,Y,08:00,RAJGIR,NEW DELHI,04:45,2.0,1103.0
33,33,FZR JANATA EXP,19023,MMCT,FZR,Y,Y,Y,Y,Y,Y,Y,07:25,MUMBAI CENTRAL,FIROZPUR CANT,22:15,2.0,1772.0
34,34,ASR DBRG EXPRESS,15934,ASR,DBRG,N,N,N,N,N,Y,N,15:45,AMRITSAR JN,DIBRUGARH,04:55,4.0,2870.0
35,35,GARHWAL EXPRESS,14043,KTW,DLI,Y,Y,Y,Y,Y,Y,Y,15:30,KOTDWARA,DELHI,22:20,1.0,238.0
36,36,ALD JP EXPRESS,12403,ALD,JP,Y,Y,Y,Y,Y,Y,Y,23:30,ALLAHABAD JN,JAIPUR,12:55,2.0,780.0
37,37,TPTY SNSI  EXP,17417,TPTY,SNSI,N,N,Y,N,N,N,N,07:00,TIRUPATI,SAINAGAR SHIRDI,12:15,2.0,1435.0
38,38,SEALDAH RJDHANI,12314,NDLS,SDAH,Y,Y,Y,Y,Y,Y,Y,16:25,NEW DELHI,SEALDAH,10:10,2.0,1454.0
39,39,MYS SNSI EXPRESS,16217,MYS,SNSI,N,Y,N,N,N,N,N,05:30,MYSURU JN,SAINAGAR SHIRDI,11:30,2.0,1304.0
40,40,HOWRAH EXPRESS,12833,ADI,HWH,Y,Y,Y,Y,Y,Y,Y,00:15,AHMEDABAD JN,HOWRAH JN,13:30,2.0,2087.0
41,41,JP PUNE SF EXP,12940,JP,PUNE,N,N,Y,N,N,N,Y,09:15,JAIPUR,PUNE JN,08:05,2.0,1302.0
42,42,ROK NDLS EXP,14324,ROK,NDLS,Y,Y,Y,Y,Y,Y,Y,14:15,ROHTAK JN,NEW DELHI,16:00,1.0,72.0
43,43,SUR MRJ SFAST,22155,SUR,MRJ,Y,Y,Y,Y,Y,Y,Y,07:05,SOLAPUR JN,MIRAJ JN,11:55,1.0,268.0
44,44,SLN LTT SF,12144,SLN,LTT,N,Y,N,N,N,N,N,23:55,SULTANPUR,LOKMANYATILAK T,04:10,3.0,1551.0
45,45,BDTS MAJN SPL,09009,BDTS,MAJN,N,N,Y,N,N,N,N,23:55,BANDRA TERMINUS,MANGALURU JN,19:45,2.0,1231.0
46,46,KOAA DBRG EXP,12525,KOAA,DBRG,N,N,N,Y,N,N,N,21:40,KOLKATA,DIBRUGARH,02:25,3.0,1583.0
47,47,TAMIL NADU EXP,12621,MAS,NDLS,Y,Y,Y,Y,Y,Y,Y,22:00,MGR CHENNAI CTL,NEW DELHI,07:05,3.0,2188.0
48,48,TUNGABHADRA EXP,17024,KRNT,SC,Y,Y,Y,Y,Y,Y,Y,15:00,KURNOOL CITY,SECUNDERABAD JN,19:55,1.0,244.0
49,49,DEE BKN SF EXP,12455,DEE,BKN,Y,Y,Y,Y,Y,Y,Y,22:45,DELHI S ROHILLA,BIKANER JN,13:20,2.0,805.0
50,50,SILAMBU EXPRESS,16182,SCT,MS,Y,N,Y,N,Y,N,N,16:15,SENGOTTAI,CHENNAI EGMORE,05:45,2.0,683.0
51,51,RANTHAMBORE EXP,12465,INDB,JU,Y,Y,Y,Y,Y,Y,Y,06:00,INDORE JN BG,JODHPUR JN,22:25,1.0,911.0
52,52,ANVT  BBS SUP,22806,ANVT,BBS,N,Y,N,N,N,N,N,07:05,ANAND VIHAR TRM,BHUBANESWAR,16:15,2.0,1882.0
53,53,RAJKOT EXPRESS,16614,CBE,RJT,N,N,N,N,Y,N,N,23:30,COIMBATORE JN,RAJKOT JN,19:00,3.0,2237.0
54,54,LTT ERS DURONTO,12223,LTT,ERS,N,N,Y,N,N,N,Y,20:50,LOKMANYATILAK T,ERNAKULAM JN,18:20,2.0,1599.0
55,55,MDU DURONTO EXP,22205,MAS,MDU,N,Y,N,Y,N,N,N,22:30,MGR CHENNAI CTL,MADURAI JN,07:10,2.0,559.0
56,56,MLDT HWH INT EXP,13012,MLDT,HWH,Y,Y,Y,Y,Y,Y,Y,04:30,MALDA TOWN,HOWRAH JN,11:45,1.0,340.0
57,57,ROU JDB EXPRESS,18107,ROU,JDB,Y,Y,Y,Y,Y,Y,Y,18:10,ROURKELA,JAGDALPUR,11:30,2.0,750.0
58,58,NTV DURG EXP,18206,NTV,DURG,N,N,N,N,N,N,Y,07:50,NAUTANWA,DURG,13:10,2.0,1149.0
59,59,TBM NCJ EXP,06063,TBM,NCJ,N,Y,N,N,N,N,N,11:20,TAMBARAM,NAGERCOIL JN,02:00,2.0,702.0
60,60,IPR HATIA EXP,18623,IPR,HTE,Y,Y,Y,Y,Y,Y,Y,18:15,ISLAMPUR,BARKA KANA,08:40,2.0,427.0
61,61,RIG SBP SPL,02410,RIG,SBP,Y,N,Y,Y,Y,Y,N,19:05,RAIGARH,SAMBALPUR,21:30,1.0,118.0
62,62,SHATABDI EXP,12010,ADI,MMCT,N,Y,Y,Y,Y,Y,Y,14:45,AHMEDABAD JN,MUMBAI CENTRAL,21:20,1.0,491.0
63,63,BANKA RJPB EXP,13241,BAKA,RJPB,N,Y,Y,Y,Y,Y,Y,07:35,BANKA,RAJENDRANAGAR T,15:15,1.0,272.0
64,64,MALWA EXPRESS,12920,SVDK,DADN,Y,Y,Y,Y,Y,Y,Y,06:55,SHMATA VD KATRA,DR AMBEDKAR NGR,13:15,2.0,1639.0
65,65,JAN SHATABDI EX,12083,MV,CBE,Y,Y,N,Y,Y,Y,Y,14:50,MAYILADUTURAI J,COIMBATORE JN,21:15,1.0,362.0
66,66,INTERCITY  EXP,13402,DNR,BGP,Y,Y,Y,Y,Y,Y,Y,15:30,DANAPUR,BHAGALPUR,22:35,1.0,231.0
67,67,PURI JYG EXP,18419,PURI,JYG,N,N,N,N,Y,N,N,14:25,PURI,JAYNAGAR,13:35,2.0,1004.0
68,68,AJMER SHTBDI,12015,NDLS,DOZ,Y,Y,Y,Y,Y,Y,Y,06:05,NEW DELHI,DAURAI,13:10,1.0,450.0
69,69,HW HWH S F EXP,12370,HW,HWH,Y,Y,Y,N,Y,Y,N,23:50,HARIDWAR JN,HOWRAH JN,03:20,3.0,1536.0
70,70,ANVT SUNDARI EXP,14019,AGTL,ANVT,N,N,N,N,Y,N,N,14:00,AGARTALA,ANAND VIHAR TRM,13:05,3.0,2483.0
71,71,BHAGYANAGAR EXP,17234,BPQ,SC,Y,Y,Y,Y,Y,Y,Y,02:10,BALHARSHAH,SECUNDERABAD JN,10:45,1.0,367.0
72,72,NDLS DBRG RJDHN,20504,NDLS,DBRG,N,N,Y,N,N,N,N,09:25,NEW DELHI,DIBRUGARH,05:15,3.0,2453.0
73,73,MAS NSL EXPRESS,16003,MAS,NSL,Y,N,N,N,N,N,N,08:55,MGR CHENNAI CTL,NAGARSOL,11:55,2.0,1369.0
74,74,CBE JBP EXPRESS,02197,CBE,JBP,N,Y,N,N,N,N,N,19:05,COIMBATORE JN,JABALPUR,10:20,3.0,2518.0
75,75,UAM MTP PASSR,56137,UAM,MTP,Y,Y,Y,Y,Y,Y,Y,14:00,UDAGAMANDALAM,METUPALAIYAM,17:35,1.0,46.0
76,76,PUDUCHERRY EXP,16862,CAPE,PDY,N,N,N,N,N,Y,N,13:50,KANYAKUMARI,PUDUCHERRY,05:25,2.0,699.0
77,77,ERS NZM DURONTO,12283,ERS,NZM,N,N,Y,N,N,N,N,23:15,ERNAKULAM JN,H NIZAMUDDIN,19:40,3.0,2943.0
78,78,LTT MUV EXPRESS,12167,LTT,MUV,Y,Y,Y,Y,Y,Y,Y,00:35,LOKMANYATILAK T,MANDUADIH,04:35,2.0,1499.0
79,79,NED SBC EXP,16593,NED,SBC,Y,Y,Y,Y,Y,Y,Y,06:00,H SAHIB NANDED,KSR BENGALURU,05:30,2.0,1042.0
80,80,GWL ADI SUP,22547,GWL,ADI,Y,N,N,Y,N,N,Y,20:05,GWALIOR,AHMEDABAD JN,13:40,2.0,985.0
81,81,MLDT NDLS EXPRES,14003,MLDT,NDLS,N,N,Y,N,N,N,Y,09:05,MALDA TOWN,NEW DELHI,14:35,2.0,1421.0
82,82,BSB MYS EXP,16230,BSB,MYS,N,N,N,N,Y,N,Y,21:05,VARANASI JN,MYSURU JN,02:45,4.0,2706.0
